upc,aisle,units,price,value
UPC-0042,Snacks,5,308.93,1544.65
UPC-0032,Beverages,1,599.87,599.87
UPC-0030,Beverages,7,769.9,5389.3
UPC-0038,Personal Care,2,421.01,842.02
UPC-0032,Frozen,5,516.25,2581.25
UPC-0016,Snacks,1,286.79,286.79
UPC-0039,Dairy,7,538.61,3770.27
UPC-0034,Personal Care,5,748.71,3743.55
UPC-0037,Personal Care,1,549.29,549.29
UPC-0006,Beverages,3,283.76,851.28
UPC-0045,Pantry,2,387.9,775.8
UPC-0027,Frozen,2,634.36,1268.72
UPC-0014,Pantry,1,618.52,618.52
UPC-0034,Frozen,1,282.53,282.53
UPC-0014,Produce,3,101.44,304.32
UPC-0040,Produce,2,809.91,1619.82
UPC-0029,Snacks,6,360.53,2163.18
UPC-0037,Frozen,7,76.84,537.88
UPC-0020,Frozen,4,601.77,2407.08
UPC-0048,Frozen,3,822.69,2468.07
UPC-0042,Pantry,5,242.13,1210.65
UPC-0034,Personal Care,6,772.4,4634.4
UPC-0029,Frozen,3,833.58,2500.74
UPC-0020,Produce,1,287.08,287.08
UPC-0033,Personal Care,2,101.07,202.14
UPC-0031,Pantry,4,848.55,3394.2
UPC-0001,Personal Care,2,226.88,453.76
UPC-0016,Dairy,2,201.21,402.42
UPC-0007,Snacks,3,672.12,2016.36
UPC-0016,Frozen,4,205.83,823.32
UPC-0036,Pantry,4,147.54,590.16
UPC-0022,Frozen,5,64.39,321.95
UPC-0006,Beverages,4,275.66,1102.64
UPC-0040,Frozen,5,389.88,1949.4
UPC-0034,Personal Care,3,837.47,2512.41
UPC-0005,Personal Care,5,847.57,4237.85
UPC-0027,Snacks,4,117.95,471.8
UPC-0015,Beverages,7,262.45,1837.15
UPC-0013,Snacks,2,753.63,1507.26
UPC-0028,Pantry,4,32.62,130.48
UPC-0012,Dairy,2,416.15,832.3
UPC-0032,Bakery,2,310.39,620.78
UPC-0021,Produce,7,537.25,3760.75
UPC-0001,Beverages,6,158.69,952.14
UPC-0046,Pantry,3,239.11,717.33
UPC-0020,Beverages,5,168.47,842.35
UPC-0018,Dairy,6,382.7,2296.2
UPC-0041,Frozen,7,246.68,1726.76
UPC-0011,Snacks,1,692.03,692.03
UPC-0027,Frozen,6,216.64,1299.84
UPC-0031,Snacks,1,353.73,353.73
UPC-0017,Personal Care,2,166.21,332.42
UPC-0044,Frozen,7,790.14,5530.98
UPC-0016,Produce,4,47.64,190.56
UPC-0031,Frozen,1,363.96,363.96
UPC-0010,Produce,4,55.81,223.24
UPC-0018,Personal Care,6,521.58,3129.48
UPC-0015,Frozen,2,507.4,1014.8
UPC-0018,Pantry,6,369.41,2216.46
UPC-0010,Bakery,4,106.42,425.68
UPC-0023,Bakery,6,689.9,4139.4
UPC-0050,Beverages,4,188.38,753.52
UPC-0018,Beverages,3,632.79,1898.37
UPC-0044,Produce,6,408.5,2451.0
UPC-0014,Beverages,5,440.14,2200.7
UPC-0029,Beverages,1,340.44,340.44
UPC-0020,Frozen,5,244.56,1222.8
UPC-0007,Produce,2,633.95,1267.9
UPC-0019,Produce,3,351.49,1054.47
UPC-0033,Frozen,3,122.5,367.5
UPC-0039,Produce,1,644.08,644.08
UPC-0050,Bakery,5,690.02,3450.1
UPC-0048,Beverages,7,679.74,4758.18
UPC-0040,Beverages,5,778.94,3894.7
UPC-0020,Beverages,7,784.86,5494.02
UPC-0005,Beverages,3,804.62,2413.86
UPC-0011,Produce,7,689.45,4826.15
UPC-0022,Produce,4,167.87,671.48
UPC-0033,Produce,6,770.65,4623.9
UPC-0011,Personal Care,6,124.14,744.84
UPC-0026,Dairy,2,39.59,79.18
UPC-0041,Beverages,1,173.93,173.93
UPC-0016,Personal Care,2,165.1,330.2
UPC-0025,Pantry,2,132.9,265.8
UPC-0032,Bakery,6,534.47,3206.82
UPC-0011,Pantry,7,533.91,3737.37
UPC-0034,Snacks,1,253.92,253.92
UPC-0009,Beverages,4,196.77,787.08
UPC-0013,Beverages,1,485.44,485.44
UPC-0040,Frozen,6,348.74,2092.44
UPC-0045,Snacks,4,366.06,1464.24
UPC-0031,Bakery,2,726.76,1453.52
UPC-0029,Personal Care,3,764.76,2294.28
UPC-0040,Personal Care,5,227.79,1138.95
UPC-0019,Pantry,5,139.84,699.2
UPC-0037,Snacks,7,800.81,5605.67
UPC-0002,Dairy,5,360.02,1800.1
UPC-0023,Pantry,4,242.89,971.56
UPC-0037,Snacks,3,576.92,1730.76
UPC-0047,Snacks,7,599.54,4196.78
UPC-0046,Dairy,5,221.95,1109.75
UPC-0041,Produce,7,338.91,2372.37
UPC-0016,Produce,1,272.97,272.97
UPC-0035,Produce,4,309.43,1237.72
UPC-0034,Beverages,6,497.82,2986.92
UPC-0030,Personal Care,3,327.83,983.49
UPC-0039,Beverages,5,631.54,3157.7
UPC-0016,Beverages,4,173.6,694.4
UPC-0003,Snacks,2,411.85,823.7
UPC-0025,Personal Care,4,509.69,2038.76
UPC-0049,Dairy,1,292.92,292.92
UPC-0020,Bakery,5,48.35,241.75
UPC-0035,Frozen,3,323.57,970.71
UPC-0041,Snacks,1,603.74,603.74
UPC-0032,Frozen,3,136.16,408.48
UPC-0038,Produce,5,339.99,1699.95
UPC-0007,Beverages,7,439.49,3076.43
UPC-0032,Personal Care,6,312.02,1872.12
UPC-0008,Produce,2,424.93,849.86
UPC-0013,Bakery,4,79.14,316.56
UPC-0017,Personal Care,6,724.94,4349.64
UPC-0042,Pantry,4,333.65,1334.6
UPC-0014,Frozen,4,647.06,2588.24
UPC-0050,Snacks,1,684.57,684.57
UPC-0042,Produce,4,231.11,924.44
UPC-0001,Personal Care,7,424.49,2971.43
UPC-0029,Frozen,5,26.52,132.6
UPC-0023,Dairy,5,254.66,1273.3
UPC-0040,Snacks,5,527.61,2638.05
UPC-0035,Pantry,2,59.15,118.3
UPC-0017,Pantry,7,126.15,883.05
UPC-0035,Snacks,6,340.03,2040.18
UPC-0022,Pantry,6,150.2,901.2
UPC-0043,Dairy,4,657.61,2630.44
UPC-0023,Personal Care,7,563.33,3943.31
UPC-0034,Beverages,7,125.14,875.98
UPC-0029,Bakery,3,339.59,1018.77
UPC-0036,Produce,5,393.01,1965.05
UPC-0028,Beverages,3,21.46,64.38
UPC-0020,Pantry,6,761.28,4567.68
UPC-0046,Snacks,6,225.08,1350.48
UPC-0045,Produce,1,284.68,284.68
UPC-0004,Produce,5,498.16,2490.8
UPC-0042,Produce,1,194.96,194.96
UPC-0014,Frozen,5,523.91,2619.55
UPC-0025,Personal Care,2,501.42,1002.84
UPC-0017,Dairy,5,329.45,1647.25
UPC-0003,Pantry,5,500.33,2501.65
UPC-0001,Dairy,4,292.18,1168.72
UPC-0023,Snacks,4,673.91,2695.64
UPC-0032,Frozen,5,168.62,843.1
UPC-0023,Dairy,2,647.59,1295.18
UPC-0046,Dairy,3,142.43,427.29
UPC-0035,Produce,1,720.19,720.19
UPC-0021,Frozen,4,773.11,3092.44
UPC-0008,Pantry,6,478.72,2872.32
UPC-0001,Dairy,5,301.4,1507.0
UPC-0012,Frozen,5,189.01,945.05
UPC-0001,Pantry,2,624.98,1249.96
UPC-0049,Snacks,1,230.16,230.16
UPC-0002,Beverages,7,228.05,1596.35
UPC-0030,Pantry,3,43.8,131.4
UPC-0040,Frozen,2,484.71,969.42
UPC-0035,Frozen,1,601.89,601.89
UPC-0007,Personal Care,7,822.87,5760.09
UPC-0046,Bakery,7,608.27,4257.89
UPC-0003,Snacks,6,202.07,1212.42
UPC-0050,Snacks,3,800.13,2400.39
UPC-0014,Personal Care,4,799.12,3196.48
UPC-0016,Dairy,2,214.93,429.86
UPC-0011,Beverages,2,80.48,160.96
UPC-0035,Beverages,4,383.66,1534.64
UPC-0036,Dairy,1,551.63,551.63
UPC-0037,Pantry,3,197.14,591.42
UPC-0022,Pantry,3,835.31,2505.93
UPC-0033,Bakery,2,820.94,1641.88
UPC-0046,Personal Care,2,371.57,743.14
UPC-0046,Bakery,6,423.27,2539.62
UPC-0008,Pantry,3,652.16,1956.48
UPC-0014,Frozen,2,263.27,526.54
UPC-0035,Produce,5,248.87,1244.35
UPC-0008,Produce,6,610.59,3663.54
UPC-0025,Pantry,1,232.94,232.94
UPC-0046,Pantry,6,149.67,898.02
UPC-0008,Frozen,5,50.74,253.7
UPC-0001,Pantry,6,620.0,3720.0
UPC-0004,Dairy,6,279.73,1678.38
UPC-0038,Bakery,4,662.57,2650.28
UPC-0025,Snacks,3,312.96,938.88
UPC-0019,Personal Care,5,199.59,997.95
UPC-0048,Bakery,7,211.64,1481.48
UPC-0038,Produce,3,56.65,169.95
UPC-0028,Bakery,1,589.24,589.24
UPC-0026,Personal Care,4,737.09,2948.36
UPC-0009,Pantry,2,509.97,1019.94
UPC-0006,Beverages,5,404.39,2021.95
UPC-0002,Dairy,4,644.34,2577.36
UPC-0008,Pantry,1,456.52,456.52
UPC-0016,Personal Care,3,158.04,474.12
UPC-0037,Beverages,6,565.09,3390.54
UPC-0022,Pantry,4,802.28,3209.12
UPC-0014,Frozen,5,214.97,1074.85
UPC-0013,Dairy,7,28.06,196.42
UPC-0009,Beverages,1,146.69,146.69
UPC-0010,Pantry,6,388.87,2333.22
UPC-0031,Bakery,4,802.32,3209.28
UPC-0015,Produce,5,166.54,832.7
UPC-0021,Beverages,2,39.22,78.44
UPC-0036,Bakery,7,457.58,3203.06
UPC-0029,Pantry,6,142.77,856.62
UPC-0028,Bakery,2,523.17,1046.34
UPC-0048,Produce,6,440.85,2645.1
UPC-0021,Beverages,7,309.2,2164.4
UPC-0050,Bakery,2,494.89,989.78
UPC-0003,Beverages,7,473.62,3315.34
UPC-0019,Dairy,1,756.14,756.14
UPC-0039,Snacks,4,578.84,2315.36
UPC-0029,Frozen,3,774.34,2323.02
UPC-0007,Pantry,3,508.71,1526.13
UPC-0034,Frozen,6,96.33,577.98
UPC-0003,Personal Care,7,61.13,427.91
UPC-0017,Pantry,3,300.24,900.72
UPC-0040,Personal Care,2,305.45,610.9
UPC-0015,Dairy,6,692.8,4156.8
UPC-0046,Produce,6,32.41,194.46
UPC-0044,Pantry,6,86.06,516.36
UPC-0049,Snacks,5,839.49,4197.45
UPC-0049,Personal Care,5,392.05,1960.25
UPC-0022,Pantry,3,477.09,1431.27
UPC-0021,Personal Care,1,449.53,449.53
UPC-0036,Snacks,1,224.72,224.72
UPC-0016,Bakery,6,559.3,3355.8
UPC-0018,Pantry,7,111.41,779.87
UPC-0045,Pantry,7,726.7,5086.9
UPC-0030,Dairy,1,80.95,80.95
UPC-0029,Produce,2,282.56,565.12
UPC-0005,Bakery,6,841.52,5049.12
UPC-0005,Snacks,7,342.57,2397.99
UPC-0004,Pantry,1,221.47,221.47
UPC-0026,Produce,4,132.0,528.0
UPC-0048,Frozen,5,55.29,276.45
UPC-0043,Produce,1,232.73,232.73
UPC-0008,Snacks,7,645.64,4519.48
UPC-0005,Snacks,2,642.43,1284.86
UPC-0045,Dairy,6,632.29,3793.74
UPC-0023,Produce,7,401.44,2810.08
UPC-0014,Dairy,3,225.45,676.35
UPC-0033,Dairy,2,143.15,286.3
UPC-0046,Dairy,6,545.48,3272.88
UPC-0029,Produce,7,258.93,1812.51
UPC-0017,Frozen,1,806.54,806.54
UPC-0032,Produce,7,410.7,2874.9
UPC-0012,Produce,2,38.36,76.72
UPC-0042,Dairy,6,717.92,4307.52
UPC-0023,Personal Care,5,528.15,2640.75
UPC-0002,Personal Care,3,77.33,231.99
UPC-0006,Pantry,5,497.44,2487.2
UPC-0021,Dairy,3,268.21,804.63
UPC-0047,Pantry,4,142.17,568.68
UPC-0042,Snacks,4,136.92,547.68
UPC-0050,Beverages,2,674.27,1348.54
UPC-0007,Snacks,6,390.6,2343.6
UPC-0018,Snacks,6,84.6,507.6
UPC-0002,Beverages,7,291.45,2040.15
UPC-0035,Beverages,2,787.83,1575.66
UPC-0047,Snacks,4,294.88,1179.52
UPC-0004,Snacks,1,213.82,213.82
UPC-0029,Beverages,2,791.07,1582.14
UPC-0049,Beverages,1,84.99,84.99
UPC-0010,Produce,1,102.08,102.08
UPC-0030,Personal Care,4,832.96,3331.84
UPC-0048,Beverages,3,829.05,2487.15
UPC-0045,Personal Care,3,507.02,1521.06
UPC-0017,Beverages,5,166.47,832.35
UPC-0028,Pantry,5,286.47,1432.35
UPC-0031,Bakery,6,395.17,2371.02
UPC-0041,Snacks,3,117.2,351.6
UPC-0022,Bakery,3,228.77,686.31
UPC-0024,Beverages,5,104.82,524.1
UPC-0008,Snacks,6,743.06,4458.36
UPC-0012,Dairy,3,766.57,2299.71
UPC-0021,Personal Care,3,537.55,1612.65
UPC-0045,Frozen,6,840.63,5043.78
UPC-0030,Bakery,1,109.27,109.27
UPC-0049,Personal Care,1,328.96,328.96
UPC-0029,Produce,7,775.16,5426.12
UPC-0023,Personal Care,7,358.46,2509.22
UPC-0002,Dairy,6,370.25,2221.5
UPC-0036,Frozen,1,581.08,581.08
UPC-0042,Bakery,2,616.19,1232.38
UPC-0013,Personal Care,4,276.7,1106.8
UPC-0022,Personal Care,5,221.93,1109.65
UPC-0019,Dairy,6,715.58,4293.48
UPC-0019,Snacks,6,731.23,4387.38
UPC-0017,Beverages,4,777.96,3111.84
UPC-0010,Produce,5,805.58,4027.9
UPC-0024,Produce,2,554.81,1109.62
UPC-0011,Pantry,2,253.74,507.48
UPC-0025,Produce,2,470.4,940.8
UPC-0038,Beverages,4,424.0,1696.0
